arrangement_id,update_datetime,requester_staff_id,wfh_date,wfh_type,current_approval_status,approving_officer,delegate_approving_officer,reason_description,batch_id,latest_log_id,supporting_doc_1,supporting_doc_2,supporting_doc_3,status_reason
33,2025-03-25T11:14:32Z,140911,2024-11-29,PM,CANCELLED,140944,,WFH - Celebrating a religious holiday or participating in a faith-based event.,83,1,None,None,None,None
34,2025-03-24T23:09:28Z,140015,2025-08-20,AM,APPROVED,140894,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,26,1,None,None,None,None
35,2025-02-20T19:23:06Z,150282,2024-11-28,AM,PENDING_APPROVAL,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",25,1,None,None,None,None
36,2025-11-07T14:17:58Z,151601,2025-01-27,FULL,PENDING_APPROVAL,151408,140001,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",51,1,None,None,None,None
37,2024-11-11T11:27:30Z,151610,2024-12-15,PM,APPROVED,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",2,1,None,None,None,None
38,2025-05-16T23:16:13Z,140948,2025-09-03,AM,REJECTED,140879,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",98,1,None,None,None,None
39,2025-11-15T20:08:34Z,170233,2025-10-01,FULL,WITHDRAWN,171009,,"WFH - Weather disruptions, transportation issues, or emergencies.",57,1,None,None,None,None
40,2025-08-13T11:38:36Z,151499,2025-06-17,PM,REJECTED,151408,140001,"WFH - Planned time off to recharge, travel, or enjoy a break.",84,1,None,None,None,None
41,2025-11-03T08:45:23Z,150356,2025-11-27,PM,REJECTED,151408,140001,"OOO - Taking leave to attend a course, certification, or exam preparation.",6,1,None,None,None,None
42,2025-05-05T13:29:58Z,151481,2025-11-07,AM,APPROVED,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",75,1,None,None,None,None
43,2025-03-28T15:26:38Z,190095,2025-06-17,FULL,PENDING_APPROVAL,150008,,"OOO - Taking leave to attend a course, certification, or exam preparation.",62,1,None,None,None,None
44,2025-08-22T18:18:46Z,150168,2025-10-06,FULL,PENDING_APPROVAL,151408,140001,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",71,1,None,None,None,None
45,2025-05-22T17:33:31Z,150095,2025-08-07,AM,PENDING_APPROVAL,151408,140001,"WFH - Taking care of a family member, elderly care, or childcare issues.",49,1,None,None,None,None
46,2025-06-04T07:33:29Z,190040,2025-08-08,PM,PENDING_APPROVAL,150008,,"WFH - Taking leave to attend a course, certification, or exam preparation.",88,1,None,None,None,None
47,2025-07-15T16:53:41Z,151467,2025-08-06,FULL,APPROVED,151408,140001,"WFH - Weather disruptions, transportation issues, or emergencies.",51,1,None,None,None,None
48,2025-02-11T00:31:53Z,150162,2025-10-05,AM,PENDING_WITHDRAWAL,151408,140001,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs.",18,1,None,None,None,None
49,2025-06-08T07:55:54Z,160337,2025-06-08,FULL,PENDING_APPROVAL,160008,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,27,1,None,None,None,None
50,2025-05-15T17:08:34Z,151526,2025-05-22,FULL,PENDING_APPROVAL,151408,140001,WFH - Taking a day for self-care or to manage stress and prevent burnout.,96,1,None,None,None,None
51,2025-06-07T16:57:54Z,190041,2025-10-02,AM,PENDING_WITHDRAWAL,150008,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",21,1,None,None,None,None
52,2025-08-18T13:10:37Z,150096,2025-03-09,FULL,PENDING_WITHDRAWAL,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,19,1,None,None,None,None
53,2025-03-23T21:40:45Z,140937,2025-02-15,PM,PENDING_APPROVAL,140879,,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",38,1,None,None,None,None
54,2025-07-06T10:25:39Z,151598,2024-12-11,FULL,REJECTED,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",49,1,None,None,None,None
55,2024-11-02T06:14:29Z,170233,2025-04-18,PM,PENDING_WITHDRAWAL,171009,,WFH - Moving to a new home or handling logistics related to a recent move.,89,1,None,None,None,None
56,2025-10-27T08:42:27Z,210037,2025-05-10,FULL,APPROVED,210001,,OOO - Taking a day for self-care or to manage stress and prevent burnout.,61,1,None,None,None,None
57,2024-11-21T01:07:11Z,150345,2025-07-12,FULL,PENDING_APPROVAL,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,21,1,None,None,None,None
58,2025-09-24T17:53:59Z,160325,2025-11-04,FULL,PENDING_APPROVAL,160008,,"OOO - Planned time off to recharge, travel, or enjoy a break.",86,1,None,None,None,None
59,2024-12-12T22:19:01Z,190080,2025-06-15,FULL,APPROVED,150008,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",3,1,None,None,None,None
60,2025-07-29T07:00:47Z,151418,2025-05-10,FULL,APPROVED,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,83,1,None,None,None,None
61,2025-05-31T03:00:07Z,180011,2025-05-10,PM,WITHDRAWN,180001,,"OOO - Taking care of a family member, elderly care, or childcare issues.",100,1,None,None,None,None
62,2025-02-14T19:03:50Z,151443,2025-05-10,PM,APPROVED,151408,140001,"OOO - Planned time off to recharge, travel, or enjoy a break.",56,1,None,None,None,None
63,2024-11-07T18:26:00Z,190058,2025-05-10,PM,APPROVED,150008,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",64,1,None,None,None,None
64,2024-12-20T13:41:38Z,171030,2025-05-10,PM,APPROVED,171043,,WFH - Moving to a new home or handling logistics related to a recent move.,59,1,None,None,None,None
65,2025-08-25T14:05:29Z,151596,2025-02-07,FULL,REJECTED,151408,140001,OOO - Celebrating a religious holiday or participating in a faith-based event.,3,1,None,None,None,None
66,2025-02-17T13:28:03Z,151505,2025-09-08,PM,PENDING_WITHDRAWAL,151408,140001,"WFH - Taking leave to attend a course, certification, or exam preparation.",46,1,None,None,None,None
67,2025-05-06T13:44:25Z,150525,2025-06-28,FULL,PENDING_APPROVAL,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",57,1,None,None,None,None
68,2025-03-12T11:41:55Z,150446,2025-05-02,AM,APPROVED,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",37,1,None,None,None,None
69,2025-08-18T21:09:30Z,171016,2025-01-03,AM,PENDING_WITHDRAWAL,171018,,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",63,1,None,None,None,None
70,2025-02-13T19:15:34Z,150125,2025-02-04,FULL,PENDING_APPROVAL,151408,140001,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",11,1,None,None,None,None
71,2025-09-19T10:37:03Z,151562,2025-05-14,FULL,APPROVED,151408,140001,"WFH - Taking care of a family member, elderly care, or childcare issues.",24,1,None,None,None,None
72,2024-12-11T15:13:51Z,151481,2025-08-03,PM,CANCELLED,151408,140001,"OOO - Taking care of a family member, elderly care, or childcare issues.",65,1,None,None,None,None
73,2025-09-22T07:26:49Z,151410,2025-09-20,PM,PENDING_APPROVAL,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",82,1,None,None,None,None
74,2025-03-09T12:15:08Z,151510,2025-10-27,PM,APPROVED,151408,140001,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",10,1,None,None,None,None
75,2024-12-21T23:36:37Z,190032,2025-07-08,AM,PENDING_WITHDRAWAL,150008,,"WFH - Taking care of a family member, elderly care, or childcare issues.",1,1,None,None,None,None
76,2025-06-07T11:02:13Z,190025,2025-10-30,FULL,PENDING_APPROVAL,150008,,"WFH - Weather disruptions, transportation issues, or emergencies.",34,1,None,None,None,None
77,2025-04-19T19:03:02Z,190052,2024-12-02,PM,APPROVED,150008,,WFH - Moving to a new home or handling logistics related to a recent move.,35,1,None,None,None,None
78,2025-01-31T23:49:32Z,180006,2025-05-09,FULL,PENDING_WITHDRAWAL,180001,,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",68,1,None,None,None,None
79,2024-12-27T20:58:30Z,140904,2024-12-19,FULL,PENDING_WITHDRAWAL,140944,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,17,1,None,None,None,None
80,2025-06-12T03:29:26Z,151480,2025-02-19,AM,APPROVED,151408,140001,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",25,1,None,None,None,None
81,2025-02-19T12:27:05Z,140938,2025-09-13,PM,WITHDRAWN,140879,,"OOO - Weather disruptions, transportation issues, or emergencies.",67,1,None,None,None,None
82,2025-05-30T02:06:56Z,151441,2025-03-12,PM,REJECTED,151408,140001,"WFH - Planned time off to recharge, travel, or enjoy a break.",64,1,None,None,None,None
83,2025-10-31T04:47:07Z,151507,2025-01-16,AM,CANCELLED,151408,140001,OOO - Celebrating a religious holiday or participating in a faith-based event.,88,1,None,None,None,None
84,2025-08-25T17:24:40Z,140525,2025-08-16,PM,APPROVED,140894,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",44,1,None,None,None,None
85,2025-03-18T13:48:14Z,151430,2025-09-16,PM,REJECTED,151408,140001,"WFH - Planned time off to recharge, travel, or enjoy a break.",36,1,None,None,None,None
86,2025-02-01T18:14:08Z,151608,2024-12-22,PM,PENDING_APPROVAL,151408,140001,"OOO - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",62,1,None,None,None,None
87,2025-03-27T13:29:43Z,180004,2025-10-31,AM,REJECTED,180001,,"OOO - Taking care of a family member, elderly care, or childcare issues.",26,1,None,None,None,None
88,2025-11-16T21:48:28Z,151472,2025-07-30,AM,REJECTED,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,74,1,None,None,None,None
89,2025-07-01T11:00:00Z,140894,2025-03-21,PM,PENDING_APPROVAL,140001,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,68,1,None,None,None,None
90,2025-03-09T18:37:00Z,150238,2025-11-27,AM,PENDING_APPROVAL,151408,140001,WFH - Taking a day for self-care or to manage stress and prevent burnout.,22,1,None,None,None,None
91,2025-03-28T01:09:44Z,160333,2025-10-02,PM,REJECTED,160008,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,99,1,None,None,None,None
92,2025-08-03T19:22:58Z,190068,2025-09-28,FULL,PENDING_APPROVAL,150008,,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",87,1,None,None,None,None
93,2025-10-03T14:19:21Z,180038,2025-01-12,FULL,APPROVED,180001,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",93,1,None,None,None,None
94,2025-05-07T01:15:23Z,140904,2025-08-30,PM,REJECTED,140944,,"OOO - Planned time off to recharge, travel, or enjoy a break.",36,1,None,None,None,None
95,2025-02-23T08:20:50Z,150138,2025-06-29,FULL,PENDING_WITHDRAWAL,151408,140001,"WFH - Planned time off to recharge, travel, or enjoy a break.",71,1,None,None,None,None
96,2025-07-27T16:08:53Z,190066,2025-11-01,AM,CANCELLED,150008,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",79,1,None,None,None,None
97,2024-11-30T11:02:48Z,160258,2025-11-16,FULL,CANCELLED,160008,,"WFH - Planned time off to recharge, travel, or enjoy a break.",79,1,None,None,None,None
98,2024-11-20T13:01:31Z,171027,2025-11-17,AM,CANCELLED,171029,,WFH - Moving to a new home or handling logistics related to a recent move.,76,1,None,None,None,None
99,2025-09-02T16:18:01Z,140945,2025-05-18,FULL,REJECTED,140879,,"WFH - Taking leave to attend a course, certification, or exam preparation.",11,1,None,None,None,None
100,2024-12-22T09:55:27Z,180038,2025-01-24,FULL,PENDING_WITHDRAWAL,180001,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,35,1,None,None,None,None
101,2025-02-23T00:21:57Z,190032,2024-07-03,AM,APPROVED,150008,,"OOO - Planned time off to recharge, travel, or enjoy a break.",62,1,None,None,None,None
102,2024-12-22T18:20:40Z,150398,2024-08-03,FULL,REJECTED,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,26,1,None,None,None,None
103,2024-12-25T21:13:55Z,160188,2024-09-04,PM,PENDING_WITHDRAWAL,160008,,WFH - Celebrating a religious holiday or participating in a faith-based event.,70,1,None,None,None,None
104,2025-01-22T07:25:31Z,150633,2024-07-31,FULL,CANCELLED,151408,140001,"WFH - Taking leave to attend a course, certification, or exam preparation.",4,1,None,None,None,None
105,2025-03-21T11:56:26Z,160324,2024-10-04,AM,REJECTED,160008,,WFH - Moving to a new home or handling logistics related to a recent move.,91,1,None,None,None,None
106,2025-07-27T23:20:01Z,150342,2024-07-30,AM,PENDING_WITHDRAWAL,151408,140001,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",10,1,None,None,None,None
107,2025-05-31T01:01:47Z,180004,2024-10-08,AM,PENDING_APPROVAL,180001,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",92,1,None,None,None,None
108,2025-11-27T22:11:23Z,171029,2024-09-17,AM,CANCELLED,170166,,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",42,1,None,None,None,None
109,2025-11-09T19:48:33Z,150162,2024-07-03,PM,WITHDRAWN,151408,140001,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",5,1,None,None,None,None
110,2025-08-05T11:57:11Z,151467,2024-09-13,AM,REJECTED,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,54,1,None,None,None,None
111,2025-10-24T16:00:13Z,151576,2024-10-10,FULL,CANCELLED,151408,140001,"OOO - Weather disruptions, transportation issues, or emergencies.",59,1,None,None,None,None
112,2024-11-11T12:33:06Z,151536,2024-08-11,AM,PENDING_WITHDRAWAL,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",55,1,None,None,None,None
113,2025-01-06T00:11:49Z,151600,2024-10-05,FULL,APPROVED,151408,140001,"WFH - Weather disruptions, transportation issues, or emergencies.",70,1,None,None,None,None
114,2025-05-05T00:08:29Z,171008,2024-07-02,FULL,WITHDRAWN,171009,,"OOO - Weather disruptions, transportation issues, or emergencies.",28,1,None,None,None,None
115,2024-12-02T11:26:03Z,160303,2024-10-28,PM,WITHDRAWN,160008,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",25,1,None,None,None,None
116,2024-12-13T11:53:14Z,151548,2024-07-02,PM,PENDING_WITHDRAWAL,151408,140001,OOO - Taking a day for self-care or to manage stress and prevent burnout.,71,1,None,None,None,None
117,2025-05-18T20:42:58Z,150968,2024-09-02,PM,PENDING_WITHDRAWAL,151408,140001,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",95,1,None,None,None,None
118,2025-04-15T09:19:32Z,150976,2024-07-30,AM,CANCELLED,151408,140001,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",54,1,None,None,None,None
119,2025-05-05T07:34:09Z,151507,2024-09-26,AM,REJECTED,151408,140001,OOO - Moving to a new home or handling logistics related to a recent move.,50,1,None,None,None,None
120,2025-11-04T12:07:51Z,171048,2024-10-01,FULL,WITHDRAWN,171029,,OOO - Taking a day for self-care or to manage stress and prevent burnout.,73,1,None,None,None,None
121,2025-09-11T21:49:37Z,151472,2024-07-26,AM,WITHDRAWN,151408,140001,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",36,1,None,None,None,None
122,2025-07-02T09:32:26Z,151477,2024-09-08,AM,APPROVED,151408,140001,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs.",94,1,None,None,None,None
123,2025-08-30T09:27:55Z,151550,2024-09-15,PM,APPROVED,151408,140001,WFH - Taking a day for self-care or to manage stress and prevent burnout.,13,1,None,None,None,None
124,2025-02-14T08:13:13Z,160328,2024-08-30,AM,APPROVED,160008,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs.",19,1,None,None,None,None
125,2025-06-14T07:53:02Z,151580,2024-09-06,FULL,PENDING_WITHDRAWAL,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,51,1,None,None,None,None
126,2025-06-01T16:04:21Z,190093,2024-07-21,PM,CANCELLED,150008,,"WFH - Planned time off to recharge, travel, or enjoy a break.",82,1,None,None,None,None
127,2025-08-27T09:11:25Z,151520,2024-09-24,PM,CANCELLED,151408,140001,"WFH - Taking leave to attend a course, certification, or exam preparation.",70,1,None,None,None,None
128,2025-05-11T04:44:03Z,210035,2024-10-31,AM,APPROVED,210001,,OOO - Moving to a new home or handling logistics related to a recent move.,92,1,None,None,None,None
129,2025-01-14T03:12:50Z,151571,2024-07-09,AM,PENDING_APPROVAL,151408,140001,"WFH - Weather disruptions, transportation issues, or emergencies.",64,1,None,None,None,None
130,2025-09-14T10:14:54Z,151539,2024-07-08,PM,PENDING_APPROVAL,151408,140001,OOO - Taking a day for self-care or to manage stress and prevent burnout.,16,1,None,None,None,None
131,2024-12-24T13:56:56Z,151591,2024-10-10,AM,REJECTED,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,21,1,None,None,None,None
132,2025-04-19T10:34:52Z,151508,2024-10-24,PM,CANCELLED,151408,140001,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs.",53,1,None,None,None,None
133,2025-10-17T09:21:44Z,151561,2024-10-22,PM,APPROVED,151408,140001,"OOO - Weather disruptions, transportation issues, or emergencies.",11,1,None,None,None,None
134,2025-09-06T09:27:10Z,160155,2024-09-21,AM,APPROVED,160008,,OOO - Celebrating a religious holiday or participating in a faith-based event.,59,1,None,None,None,None
135,2025-07-14T01:23:21Z,160282,2024-09-14,AM,WITHDRAWN,160008,,"WFH - Taking care of a family member, elderly care, or childcare issues.",75,1,None,None,None,None
136,2025-08-26T03:45:49Z,151533,2024-09-27,AM,WITHDRAWN,151408,140001,"OOO - Taking leave to attend a course, certification, or exam preparation.",47,1,None,None,None,None
137,2025-02-06T09:41:13Z,140003,2024-09-18,FULL,CANCELLED,140894,,WFH - Taking a day for self-care or to manage stress and prevent burnout.,50,1,None,None,None,None
138,2025-01-08T05:01:51Z,171038,2024-09-23,FULL,WITHDRAWN,171043,,"WFH - Taking care of a family member, elderly care, or childcare issues.",47,1,None,None,None,None
139,2025-04-29T00:29:35Z,210020,2024-10-18,FULL,REJECTED,210001,,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",30,1,None,None,None,None
140,2025-06-24T13:56:28Z,151491,2024-10-20,PM,CANCELLED,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,100,1,None,None,None,None
141,2025-04-24T20:20:24Z,210017,2024-08-29,PM,WITHDRAWN,210001,,"WFH - Taking care of a family member, elderly care, or childcare issues.",29,1,None,None,None,None
142,2025-03-16T16:12:11Z,151574,2024-08-17,PM,REJECTED,151408,140001,WFH - Taking a day for self-care or to manage stress and prevent burnout.,90,1,None,None,None,None
143,2025-04-13T08:28:18Z,151418,2024-08-25,AM,PENDING_WITHDRAWAL,151408,140001,"WFH - Weather disruptions, transportation issues, or emergencies.",45,1,None,None,None,None
144,2024-11-13T02:20:58Z,151547,2024-08-25,AM,CANCELLED,151408,140001,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs.",9,1,None,None,None,None
145,2025-08-02T01:25:18Z,151467,2024-09-17,PM,PENDING_APPROVAL,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,21,1,None,None,None,None
146,2025-03-04T05:21:15Z,210028,2024-08-07,PM,WITHDRAWN,210001,,"WFH - Taking care of a family member, elderly care, or childcare issues.",7,1,None,None,None,None
147,2025-08-16T03:26:30Z,180023,2024-09-09,PM,PENDING_APPROVAL,180001,,WFH - Celebrating a religious holiday or participating in a faith-based event.,28,1,None,None,None,None
148,2025-06-26T01:26:20Z,151431,2024-07-08,PM,APPROVED,151408,140001,WFH - Celebrating a religious holiday or participating in a faith-based event.,45,1,None,None,None,None
149,2025-10-02T05:38:35Z,151433,2024-08-23,PM,CANCELLED,151408,140001,"OOO - Planned time off to recharge, travel, or enjoy a break.",28,1,None,None,None,None
150,2024-11-25T06:36:41Z,160318,2024-08-01,PM,CANCELLED,160008,,"OOO - Weather disruptions, transportation issues, or emergencies.",64,1,None,None,None,None
151,2025-10-10T02:18:10Z,180012,2024-07-27,FULL,WITHDRAWN,180001,,"OOO - Taking leave to attend a course, certification, or exam preparation.",42,1,None,None,None,None
152,2024-12-15T22:17:48Z,140078,2024-07-27,PM,CANCELLED,140894,,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",87,1,None,None,None,None
153,2025-05-16T05:31:37Z,150525,2024-07-10,FULL,PENDING_APPROVAL,151408,140001,"OOO - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery.",35,1,None,None,None,None
154,2025-04-18T15:19:56Z,171038,2024-07-08,AM,PENDING_APPROVAL,171043,,"WFH - Attending a family wedding, birthday, or significant milestone celebration.",69,1,None,None,None,None
155,2025-04-28T18:33:17Z,210038,2024-09-11,AM,WITHDRAWN,210001,,WFH - Moving to a new home or handling logistics related to a recent move.,55,1,None,None,None,None
156,2025-01-13T10:17:13Z,190048,2024-09-23,FULL,PENDING_APPROVAL,150008,,"WFH - Taking care of a family member, elderly care, or childcare issues.",77,1,None,None,None,None
157,2025-04-04T12:42:08Z,151521,2024-09-28,AM,PENDING_APPROVAL,151408,140001,"WFH - Taking care of a family member, elderly care, or childcare issues.",26,1,None,None,None,None
158,2025-10-05T08:23:23Z,151564,2024-08-28,AM,CANCELLED,151408,140001,"OOO - Attending a family wedding, birthday, or significant milestone celebration.",41,1,None,None,None,None
159,2025-02-23T09:14:30Z,210036,2024-09-26,AM,CANCELLED,210001,,"WFH - Weather disruptions, transportation issues, or emergencies.",23,1,None,None,None,None
160,2025-11-21T10:36:12Z,190091,2024-09-20,PM,PENDING_APPROVAL,150008,,"WFH - Taking care of a family member, elderly care, or childcare issues.",82,1,None,None,None,None
161,2025-06-19T08:19:42Z,150216,2024-09-26,AM,REJECTED,151408,140001,WFH - Moving to a new home or handling logistics related to a recent move.,73,1,None,None,None,None
162,2025-07-08T13:16:26Z,180002,2024-09-05,AM,CANCELLED,180001,,"OOO - Weather disruptions, transportation issues, or emergencies.",78,1,None,None,None,None
