arrangement_id,update_datetime,requester_staff_id,wfh_date,wfh_type,current_approval_status,approving_officer,delegate_approving_offer,reason_description,batch_id,latest_log_id,supporting_doc_1,supporting_doc_2,supporting_doc_3,status_reason,I
47,2025-07-15T16:53:41Z,151467.0,6/8/25,FULL,APPROVED,151408.0,,,51,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
48,2025-02-11T00:31:53Z,150162.0,5/10/25,AM,PENDING_WITHDRAWAL,151408.0,,,18,1,,,,,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs."
49,2025-06-08T07:55:54Z,160337.0,8/6/25,FULL,PENDING_APPROVAL,160008.0,,,27,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
50,2025-05-15T17:08:34Z,151526.0,22/5/25,FULL,PENDING_APPROVAL,151408.0,,,96,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
51,2025-06-07T16:57:54Z,190041.0,2/10/25,AM,PENDING_WITHDRAWAL,150008.0,,,21,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
52,2025-08-18T13:10:37Z,150096.0,9/3/25,FULL,PENDING_WITHDRAWAL,151408.0,,,19,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
53,2025-03-23T21:40:45Z,140937.0,15/2/25,PM,PENDING_APPROVAL,140879.0,,,38,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
54,2025-07-06T10:25:39Z,151598.0,11/12/24,FULL,REJECTED,151408.0,,,49,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
55,2024-11-02T06:14:29Z,170233.0,18/4/25,PM,PENDING_WITHDRAWAL,171009.0,,,89,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
56,2025-10-27T08:42:27Z,210037.0,10/5/25,FULL,APPROVED,210001.0,,,61,1,,,,,OOO - Taking a day for self-care or to manage stress and prevent burnout.
57,2024-11-21T01:07:11Z,150345.0,12/7/25,FULL,PENDING_APPROVAL,151408.0,,,21,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
58,2025-09-24T17:53:59Z,160325.0,4/11/25,FULL,PENDING_APPROVAL,160008.0,,,86,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
59,2024-12-12T22:19:01Z,190080.0,15/6/25,FULL,APPROVED,150008.0,,,3,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
60,2025-07-29T07:00:47Z,151418.0,10/5/25,FULL,APPROVED,151408.0,,,83,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
61,2025-05-31T03:00:07Z,180011.0,10/5/25,PM,WITHDRAWN,180001.0,,,100,1,,,,,"OOO - Taking care of a family member, elderly care, or childcare issues."
62,2025-02-14T19:03:50Z,151443.0,10/5/25,PM,APPROVED,151408.0,,,56,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
63,2024-11-07T18:26:00Z,190058.0,10/5/25,PM,APPROVED,150008.0,,,64,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
64,2024-12-20T13:41:38Z,171030.0,10/5/25,PM,APPROVED,171043.0,,,59,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
65,2025-08-25T14:05:29Z,151596.0,7/2/25,FULL,REJECTED,151408.0,,,3,1,,,,,OOO - Celebrating a religious holiday or participating in a faith-based event.
66,2025-02-17T13:28:03Z,151505.0,8/9/25,PM,PENDING_WITHDRAWAL,151408.0,,,46,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
67,2025-05-06T13:44:25Z,150525.0,28/6/25,FULL,PENDING_APPROVAL,151408.0,,,57,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
68,2025-03-12T11:41:55Z,150446.0,2/5/25,AM,APPROVED,151408.0,,,37,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
69,2025-08-18T21:09:30Z,171016.0,3/1/25,AM,PENDING_WITHDRAWAL,171018.0,,,63,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
70,2025-02-13T19:15:34Z,150125.0,4/2/25,FULL,PENDING_APPROVAL,151408.0,,,11,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
71,2025-09-19T10:37:03Z,151562.0,14/5/25,FULL,APPROVED,151408.0,,,24,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
72,2024-12-11T15:13:51Z,151481.0,3/8/25,PM,CANCELLED,151408.0,,,65,1,,,,,"OOO - Taking care of a family member, elderly care, or childcare issues."
73,2025-09-22T07:26:49Z,151410.0,20/9/25,PM,PENDING_APPROVAL,151408.0,,,82,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
74,2025-03-09T12:15:08Z,151510.0,27/10/25,PM,APPROVED,151408.0,,,10,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
75,2024-12-21T23:36:37Z,190032.0,8/7/25,AM,PENDING_WITHDRAWAL,150008.0,,,1,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
76,2025-06-07T11:02:13Z,190025.0,30/10/25,FULL,PENDING_APPROVAL,150008.0,,,34,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
77,2025-04-19T19:03:02Z,190052.0,2/12/24,PM,APPROVED,150008.0,,,35,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
78,2025-01-31T23:49:32Z,180006.0,9/5/25,FULL,PENDING_WITHDRAWAL,180001.0,,,68,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
79,2024-12-27T20:58:30Z,140904.0,19/12/24,FULL,PENDING_WITHDRAWAL,140944.0,,,17,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
80,2025-06-12T03:29:26Z,151480.0,19/2/25,AM,APPROVED,151408.0,,,25,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
81,2025-02-19T12:27:05Z,140938.0,13/9/25,PM,WITHDRAWN,140879.0,,,67,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
82,2025-05-30T02:06:56Z,151441.0,12/3/25,PM,REJECTED,151408.0,,,64,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
83,2025-10-31T04:47:07Z,151507.0,16/1/25,AM,CANCELLED,151408.0,,,88,1,,,,,OOO - Celebrating a religious holiday or participating in a faith-based event.
84,2025-08-25T17:24:40Z,140525.0,16/8/25,PM,APPROVED,140894.0,,,44,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
85,2025-03-18T13:48:14Z,151430.0,16/9/25,PM,REJECTED,151408.0,,,36,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
86,2025-02-01T18:14:08Z,151608.0,22/12/24,PM,PENDING_APPROVAL,151408.0,,,62,1,,,,,"OOO - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
87,2025-03-27T13:29:43Z,180004.0,31/10/25,AM,REJECTED,180001.0,,,26,1,,,,,"OOO - Taking care of a family member, elderly care, or childcare issues."
88,2025-11-16T21:48:28Z,151472.0,30/7/25,AM,REJECTED,151408.0,,,74,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
89,2025-07-01T11:00:00Z,140894.0,21/3/25,PM,PENDING_APPROVAL,140001.0,,,68,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
90,2025-03-09T18:37:00Z,150238.0,27/11/25,AM,PENDING_APPROVAL,151408.0,,,22,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
91,2025-03-28T01:09:44Z,160333.0,2/10/25,PM,REJECTED,160008.0,,,99,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
92,2025-08-03T19:22:58Z,190068.0,28/9/25,FULL,PENDING_APPROVAL,150008.0,,,87,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
93,2025-10-03T14:19:21Z,180038.0,12/1/25,FULL,APPROVED,180001.0,,,93,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
94,2025-05-07T01:15:23Z,140904.0,30/8/25,PM,REJECTED,140944.0,,,36,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
95,2025-02-23T08:20:50Z,150138.0,29/6/25,FULL,PENDING_WITHDRAWAL,151408.0,,,71,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
96,2025-07-27T16:08:53Z,190066.0,1/11/25,AM,CANCELLED,150008.0,,,79,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
97,2024-11-30T11:02:48Z,160258.0,16/11/25,FULL,CANCELLED,160008.0,,,79,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
98,2024-11-20T13:01:31Z,171027.0,17/11/25,AM,CANCELLED,171029.0,,,76,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
99,2025-09-02T16:18:01Z,140945.0,18/5/25,FULL,REJECTED,140879.0,,,11,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
100,2024-12-22T09:55:27Z,180038.0,24/1/25,FULL,PENDING_WITHDRAWAL,180001.0,,,35,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
101,2025-02-23T00:21:57Z,190032.0,3/7/24,AM,APPROVED,150008.0,,,62,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
102,2024-12-22T18:20:40Z,150398.0,3/8/24,FULL,REJECTED,151408.0,,,26,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
103,2024-12-25T21:13:55Z,160188.0,4/9/24,PM,PENDING_WITHDRAWAL,160008.0,,,70,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
104,2025-01-22T07:25:31Z,150633.0,31/7/24,FULL,CANCELLED,151408.0,,,4,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
105,2025-03-21T11:56:26Z,160324.0,4/10/24,AM,REJECTED,160008.0,,,91,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
106,2025-07-27T23:20:01Z,150342.0,30/7/24,AM,PENDING_WITHDRAWAL,151408.0,,,10,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
107,2025-05-31T01:01:47Z,180004.0,8/10/24,AM,PENDING_APPROVAL,180001.0,,,92,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
108,2025-11-27T22:11:23Z,171029.0,17/9/24,AM,CANCELLED,170166.0,,,42,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
109,2025-11-09T19:48:33Z,150162.0,3/7/24,PM,WITHDRAWN,151408.0,,,5,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
110,2025-08-05T11:57:11Z,151467.0,13/9/24,AM,REJECTED,151408.0,,,54,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
111,2025-10-24T16:00:13Z,151576.0,10/10/24,FULL,CANCELLED,151408.0,,,59,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
112,2024-11-11T12:33:06Z,151536.0,11/8/24,AM,PENDING_WITHDRAWAL,151408.0,,,55,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
113,2025-01-06T00:11:49Z,151600.0,5/10/24,FULL,APPROVED,151408.0,,,70,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
114,2025-05-05T00:08:29Z,171008.0,2/7/24,FULL,WITHDRAWN,171009.0,,,28,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
115,2024-12-02T11:26:03Z,160303.0,28/10/24,PM,WITHDRAWN,160008.0,,,25,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
116,2024-12-13T11:53:14Z,151548.0,2/7/24,PM,PENDING_WITHDRAWAL,151408.0,,,71,1,,,,,OOO - Taking a day for self-care or to manage stress and prevent burnout.
117,2025-05-18T20:42:58Z,150968.0,2/9/24,PM,PENDING_WITHDRAWAL,151408.0,,,95,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
118,2025-04-15T09:19:32Z,150976.0,30/7/24,AM,CANCELLED,151408.0,,,54,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
119,2025-05-05T07:34:09Z,151507.0,26/9/24,AM,REJECTED,151408.0,,,50,1,,,,,OOO - Moving to a new home or handling logistics related to a recent move.
120,2025-11-04T12:07:51Z,171048.0,1/10/24,FULL,WITHDRAWN,171029.0,,,73,1,,,,,OOO - Taking a day for self-care or to manage stress and prevent burnout.
121,2025-09-11T21:49:37Z,151472.0,26/7/24,AM,WITHDRAWN,151408.0,,,36,1,,,,,"WFH - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
122,2025-07-02T09:32:26Z,151477.0,8/9/24,AM,APPROVED,151408.0,,,94,1,,,,,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs."
123,2025-08-30T09:27:55Z,151550.0,15/9/24,PM,APPROVED,151408.0,,,13,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
124,2025-02-14T08:13:13Z,160328.0,30/8/24,AM,APPROVED,160008.0,,,19,1,,,,,"WFH - Handling important personal matters such as legal appointments, bank work, or home repairs."
125,2025-06-14T07:53:02Z,151580.0,6/9/24,FULL,PENDING_WITHDRAWAL,151408.0,,,51,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
126,2025-06-01T16:04:21Z,190093.0,21/7/24,PM,CANCELLED,150008.0,,,82,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
127,2025-08-27T09:11:25Z,151520.0,24/9/24,PM,CANCELLED,151408.0,,,70,1,,,,,"WFH - Taking leave to attend a course, certification, or exam preparation."
128,2025-05-11T04:44:03Z,210035.0,31/10/24,AM,APPROVED,210001.0,,,92,1,,,,,OOO - Moving to a new home or handling logistics related to a recent move.
129,2025-01-14T03:12:50Z,151571.0,9/7/24,AM,PENDING_APPROVAL,151408.0,,,64,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
130,2025-09-14T10:14:54Z,151539.0,8/7/24,PM,PENDING_APPROVAL,151408.0,,,16,1,,,,,OOO - Taking a day for self-care or to manage stress and prevent burnout.
131,2024-12-24T13:56:56Z,151591.0,10/10/24,AM,REJECTED,151408.0,,,21,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
132,2025-04-19T10:34:52Z,151508.0,24/10/24,PM,CANCELLED,151408.0,,,53,1,,,,,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs."
133,2025-10-17T09:21:44Z,151561.0,22/10/24,PM,APPROVED,151408.0,,,11,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
134,2025-09-06T09:27:10Z,160155.0,21/9/24,AM,APPROVED,160008.0,,,59,1,,,,,OOO - Celebrating a religious holiday or participating in a faith-based event.
135,2025-07-14T01:23:21Z,160282.0,14/9/24,AM,WITHDRAWN,160008.0,,,75,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
136,2025-08-26T03:45:49Z,151533.0,27/9/24,AM,WITHDRAWN,151408.0,,,47,1,,,,,"OOO - Taking leave to attend a course, certification, or exam preparation."
137,2025-02-06T09:41:13Z,140003.0,18/9/24,FULL,CANCELLED,140894.0,,,50,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
138,2025-01-08T05:01:51Z,171038.0,23/9/24,FULL,WITHDRAWN,171043.0,,,47,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
139,2025-04-29T00:29:35Z,210020.0,18/10/24,FULL,REJECTED,210001.0,,,30,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
140,2025-06-24T13:56:28Z,151491.0,20/10/24,PM,CANCELLED,151408.0,,,100,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
141,2025-04-24T20:20:24Z,210017.0,29/8/24,PM,WITHDRAWN,210001.0,,,29,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
142,2025-03-16T16:12:11Z,151574.0,17/8/24,PM,REJECTED,151408.0,,,90,1,,,,,WFH - Taking a day for self-care or to manage stress and prevent burnout.
143,2025-04-13T08:28:18Z,151418.0,25/8/24,AM,PENDING_WITHDRAWAL,151408.0,,,45,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
144,2024-11-13T02:20:58Z,151547.0,25/8/24,AM,CANCELLED,151408.0,,,9,1,,,,,"OOO - Handling important personal matters such as legal appointments, bank work, or home repairs."
145,2025-08-02T01:25:18Z,151467.0,17/9/24,PM,PENDING_APPROVAL,151408.0,,,21,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
146,2025-03-04T05:21:15Z,210028.0,7/8/24,PM,WITHDRAWN,210001.0,,,7,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
147,2025-08-16T03:26:30Z,180023.0,9/9/24,PM,PENDING_APPROVAL,180001.0,,,28,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
148,2025-06-26T01:26:20Z,151431.0,8/7/24,PM,APPROVED,151408.0,,,45,1,,,,,WFH - Celebrating a religious holiday or participating in a faith-based event.
149,2025-10-02T05:38:35Z,151433.0,23/8/24,PM,CANCELLED,151408.0,,,28,1,,,,,"OOO - Planned time off to recharge, travel, or enjoy a break."
150,2024-11-25T06:36:41Z,160318.0,1/8/24,PM,CANCELLED,160008.0,,,64,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
151,2025-10-10T02:18:10Z,180012.0,27/7/24,FULL,WITHDRAWN,180001.0,,,42,1,,,,,"OOO - Taking leave to attend a course, certification, or exam preparation."
152,2024-12-15T22:17:48Z,140078.0,27/7/24,PM,CANCELLED,140894.0,,,87,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
153,2025-05-16T05:31:37Z,150525.0,10/7/24,FULL,PENDING_APPROVAL,151408.0,,,35,1,,,,,"OOO - Personal health issues, dental or specialist appointments, routine check-ups, or recovery after minor surgery."
154,2025-04-18T15:19:56Z,171038.0,8/7/24,AM,PENDING_APPROVAL,171043.0,,,69,1,,,,,"WFH - Attending a family wedding, birthday, or significant milestone celebration."
155,2025-04-28T18:33:17Z,210038.0,11/9/24,AM,WITHDRAWN,210001.0,,,55,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
156,2025-01-13T10:17:13Z,190048.0,23/9/24,FULL,PENDING_APPROVAL,150008.0,,,77,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
157,2025-04-04T12:42:08Z,151521.0,28/9/24,AM,PENDING_APPROVAL,151408.0,,,26,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
158,2025-10-05T08:23:23Z,151564.0,28/8/24,AM,CANCELLED,151408.0,,,41,1,,,,,"OOO - Attending a family wedding, birthday, or significant milestone celebration."
159,2025-02-23T09:14:30Z,210036.0,26/9/24,AM,CANCELLED,210001.0,,,23,1,,,,,"WFH - Weather disruptions, transportation issues, or emergencies."
160,2025-11-21T10:36:12Z,190091.0,20/9/24,PM,PENDING_APPROVAL,150008.0,,,82,1,,,,,"WFH - Taking care of a family member, elderly care, or childcare issues."
161,2025-06-19T08:19:42Z,150216.0,26/9/24,AM,REJECTED,151408.0,,,73,1,,,,,WFH - Moving to a new home or handling logistics related to a recent move.
162,2025-07-08T13:16:26Z,180002.0,5/9/24,AM,CANCELLED,180001.0,,,78,1,,,,,"OOO - Weather disruptions, transportation issues, or emergencies."
163,2025-08-09T15:14:09Z,160212.0,19/9/24,PM,PENDING_APPROVAL,160008.0,,,24,1,,,,,"WFH - Planned time off to recharge, travel, or enjoy a break."
